"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-01","0.00","T,,7,0730","0.0","T,,7,0730","1.0",",,7,0730","22",",,7","7",",,7","8",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-02","0.00","T,,7,0730","0.0","T,,7,0730","1.0",",,7,0730","13",",,7","-4",",,7","-4",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-03","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","11",",,7","-4",",,7","-2",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-04","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","3",",,7","-10",",,7","-9",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-05","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","5",",,7","-12",",,7","-10",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-06","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","14",",,7","-10",",,7","-7",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-07","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","17",",,7","-7",",,7","4",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-08","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","15",",,7","4",",,7","9",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-09","0.00",",,7,0730","0.0",",,7,0730","1.0",",,7,0730","14",",,7","-3",",,7","11",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-10","0.06",",,7,0730","0.8",",,7,0730","1.0",",,7,0730","27",",,7","11",",,7","16",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-11","0.00","T,,7,0730","0.0","T,,7,0730","1.0",",,7,0730","17",",,7","7",",,7","10",",,7,0730"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2025-01-12","0.20",",,7,0730","2.7",",,7,0730","4.0",",,7,0730","18",",,7","7",",,7","7",",,7,0730"
